"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belgium","BEL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","423.342682858269","432.801712881999","448.662307755572","460.236982478423","479.133491948326","486.095038938401","485.586461938837","482.004047409811","467.39435765441","442.717502506788","416.378110659843","387.120092752971","365.441995861142","359.516638056477","364.245906832993","386.135464556321","418.494285173976","422.178249823359","409.784645845659","401.299839312284","388.306946731382","",
"Burkina Faso","BFA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","603.211023202975","601.937747711537","595.852046071059","585.123271936013","562.411285579394","533.845082694857","518.073712723096","526.309552134647","555.743487369573","571.970870276383","571.289167445413","557.088008486552","534.152519073393","487.199076003449","448.078699290215","423.616954829146","382.631506970533","369.670231742057","369.207986890695","366.081481757418","389.924010961343","",
"Bangladesh","BGD","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.87926393507709","6.87925270855831","6.87921856423786","6.87926340433192","6.87922343769592","6.87924078994885","4.52305521461299","8.27475603266722","7.80065766472632","5.13679816805398","4.36750458620435","3.95181959886215","2.17857946765064","1.92336316431411","3.98874431892525","2.70666324331318","1.86145151775614","1.94112471087107","0.714407637528801","1.20930709019451","0.426053297488764","",
"Bulgaria","BGR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahrain","BHR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belize","BLZ","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.70823883780759","6.60242278233596","6.26356691908731","7.12191710820043","5.58711922681817","7.91032580941681","4.19852454694239","4.09536133688103","2.55069506440505","1.17912035778933","0.674157303370786","0.315980725175764","0.141497298687934","0.0838444350352356","0.0779256998958257","0.036139063114866","0.0157359507464742","0.0269974236744265","0.0113499648151091","0","0","",
"Bermuda","BMU","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.9522423513714","5.73652718916076","4.98391974900891","6.82325063244019","4.91110023860374","6.51702063094482","6.0392738138054","4.56579411010484","2.99523868152359","2.97562768261399","4.09301064524967","2.08921960525404","2.13422145946084","2.28027379175911","2.26343230960065","1.88896533976737","1.50055766397339","1.22000188662116","1.4054730545828","2.42267689906547","3.11686663696963","",
"Brazil","BRA","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4404658439761","12.9859222754546","11.1726582881973","12.616781179775","13.8338168110943","17.4221742581074","15.2935606110188","13.8488287415455","8.6114774396422","8.35535330991232","9.81687127679357","7.08369617581565","6.37975394189175","4.84385247493371","3.56159628433083","3.96525816230429","3.1545646350992","5.23608891898746","5.1458446328043","4.1699171933506","3.87250771207187","",
"Barbados","BRB","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Incidence of malaria (per 1,000 population at risk)","SH.MLR.INCD.P3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.5703669829656","13.3916878406967","14.2829565347104","8.19197548003556","5.64818771445132","3.80152894369571","3.8398447617364","1.61176896216713","0.661982486639624","2.1057328926634","0.859501134502071","0.378138893924244","0.157944411271838","0.0285402788956054","0.0357076408713416","0.063122639863061","0.0275147570813813","0.0199377940824627","0.0107478150587637","0.00354177255090855","0.038529436489478","",
